id	avg.extra	avg.ems	avg.agree	avg.consc	avg.open	avg.naturalness	realization
agree_high-recommend-John_s_Pizzeria-4	6.500	4.500	6.500	6.000	5.250	6.500	You want to know more about John's Pizzeria? Oh well, it's price is around 20 dollars, so it's one of my favourite eating houses, and it offers kind of dainty food, you know, you see?
agree_high-recommend-Pepolino-4	5.250	6.250	6.250	6.250	5.750	5.500	Let's see, Pepolino... I imagine you would appreciate it buddy since it's in TriBeCa/SoHo and an italian place with rather nice waiters, you know, okay?
agree_high-recommend-Pietro_s-4	6.500	6.000	6.250	6.750	5.750	6.500	You want to know more about Pietro's? I believe you would love it, you know, alright? It seems to me that it features rather good food. This eating place, which provides quite acceptable service, is an italian and steak house eating house and in Midtown West mate.
agree_high-recommend-Trattoria_Rustica-4	6.250	6.000	5.000	5.000	5.000	4.500	You want to know more about Trattoria Rustica? I imagine you would appreciate it, you know pal, alright? It offers nice food, even if this restaurant is somewhat expensive. This restaurant, which features quite friendly waiters although this restaurant provides kind of bad atmosphere, is an italian place.
agree_high-recommend-Vinnie_s_Pizza-4	6.750	6.250	5.500	6.000	5.500	6.500	Let's see, Vinnie's Pizza... I imagine you would appreciate it, it's one of my favourite places, you know pal, you see?
agree_low-compare2-Acacia-Marinella-3	6.250	4.250	3.250	5.250	3.000	2.000	Acacia and Marinella are damn alright. I mean, actually, Acacia doesn't provide nasty food. Obviously, it's located in Midtown. Basically, Marinella is in Manhattan.
agree_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-3	2.500	4.000	3.250	4.750	3.000	2.500	Caffe Cielo and Trattoria Spaghetto are like, acceptable restaurants. Basically, I mean, Caffe Cielo provides decent food, also the atmosphere isn't good. Obviously, Trattoria Spaghetto offers bad ambiance. The ambience is bloody poor.
agree_low-compare2-Ikeno_Hana-Menchanko-Tei-3	3.750	2.500	4.750	3.250	2.750	2.500	Obviously, basically, Menchanko-Tei, which doesn't provide nasty food, is a japanese and noodles restaurant. I mean, actually, it's in the Upper West Side, this restaurant is located in the Upper West Side. Ikeno Hana is located in Midtown.
agree_low-compare2-Kin_Khao-Tossed-3	4.500	4.500	2.750	4.250	3.000	5.500	Even if Tossed doesn't have nasty food, actually, the service is damn unmannered. I mean, basically, Kin Khao offers like, rude staff.
agree_low-compare2-Le_Rivage-Pintaile_s_Pizza-3	2.250	5.750	5.000	3.250	4.250	3.000	Actually, there could be worse places. Pintaile's Pizza's price is 14 dollars. Basically, Le Rivage provides like, mediocre ambiance. I mean, it isn't cheap, this restaurant's price is 40 dollars.
agree_low-compare2-Les_Routiers-Radio_Perfecto-3	2.250	2.500	3.000	3.500	2.000	4.500	Actually, there could be worse restaurants. Radio Perfecto doesn't offer nasty food. It's in the East Village. Basically, Les Routiers is in Manhattan. I mean, its price is 41 dollars.
agree_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-3	4.250	3.750	4.000	3.500	4.000	2.500	Basically, there could be worse places. Actually, Mavalli Palace's price is 27 dollars. It's an indian restaurant. I mean, Once Upon A Tart, which is in TriBeCa/SoHo, is a cafe and sandwich place, a cafe and sandwich place.
agree_low-compare2-Old_San_Juan-Veselka-3	4.750	6.000	4.000	5.250	3.250	5.500	Actually, I mean, there could be worse places. Old San Juan provides like, bad staff. Veselka is in Manhattan. Basically, the waiters aren't good.
agree_low-compare2-Scopa-Shabu-Tatsu-3	2.750	4.250	4.250	3.750	2.250	3.000	Everybody knows that there could be worse restaurants. Scopa doesn't provide good atmosphere. Basically, Shabu-Tatsu has like, decent waiters. I mean, the ambience is damn poor. This restaurant offers mediocre ambiance.
agree_low-compare2-Soul_Fixins_-Walker_s-3	2.750	2.250	3.500	3.750	2.750	4.000	Actually, I mean, there could be worse places. Even if Walker's is low-cost, the service isn't good. Soul Fixins' is a southern restaurant. Basically, the staff is rude.
agree_low-recommend-Cent_anni-3	5.750	4.500	3.500	2.500	4.250	3.500	Basically, Cent'anni is the only place that is any good. This restaurant is located in Manhattan. Obviously, it's an italian restaurant. This restaurant's price is 45 dollars, although the waiters aren't unfriendly. This restaurant has like, poor ambience. Actually, the ambiance is bloody mediocre.
agree_low-recommend-Chimichurri_Grill-3	6.250	3.500	2.000	3.000	2.500	3.000	I mean, Chimichurri Grill isn't as bad as the others. Basically, the staff isn't nasty. Actually, its price is 41 dollars. It's damn costly.
agree_low-recommend-Edgar_s_Cafe-3	4.250	4.500	5.500	5.500	4.000	6.000	Basically, I mean, I thought everybody knew that Edgar's Cafe is the only restaurant that is any good. Actually, it isn't expensive.
agree_low-recommend-Flor_De_Mayo-3	4.000	6.000	3.750	5.000	3.000	4.500	Basically, Flor De Mayo isn't as bad as the others. Obviously, it isn't expensive. I mean, actually, its price is 18 dollars.
agree_low-recommend-Jin_Dal_Lae-3	3.500	4.250	3.000	3.000	2.750	3.500	There could be worse places. Jin Dal Lae is located in The Bronx. I mean, basically, the staff is rude. Actually, this restaurant doesn't provide good ambiance.
agree_low-recommend-John_s_Pizzeria-3	6.500	3.500	2.250	4.250	2.500	2.500	Basically, everybody knows that John's Pizzeria is the only restaurant that is any good. This eating place offers like, mediocre ambiance, even if it's bloody inexpensive. Actually, the waiters aren't good.
agree_low-recommend-Pepolino-3	4.250	2.000	1.500	4.250	2.250	4.000	I mean, I thought everybody knew that Pepolino is the only place that is any good. Actually, this restaurant is in TriBeCa/SoHo. Basically, this restaurant, which doesn't provide good ambiance, is damn pricy.
agree_low-recommend-Pietro_s-3	6.000	3.750	3.000	4.250	3.000	2.500	Everybody knows that Pietro's isn't as bad as the others. Actually, the food isn't nasty. I mean, basically, this restaurant is bloody pricy.
agree_low-recommend-Trattoria_Rustica-3	2.500	5.750	3.000	5.750	4.500	4.500	I thought everybody knew that Trattoria Rustica isn't as bad as the others. Although the food isn't nasty, it's pricy. I mean, actually, it's in Manhattan. Although the waiters are bloody adequate, basically, the ambience is poor.
agree_low-recommend-Vinnie_s_Pizza-3	5.750	2.500	3.000	4.250	2.250	3.500	Vinnie's Pizza is the only place that is any good. Obviously, basically, it's damn cheap. This restaurant has like, rude waiters. Actually, the staff isn't good. This restaurant, which is in Manhattan, is a pizza place.
consc_high-compare2-Acacia-Marinella-6	6.000	6.000	6.000	5.500	5.250	6.000	You want to know more about Acacia and Marinella? I imagine you would appreciate them. I think that Marinella, which offers quite satisfactory food, is in Manhattan and an italian eating house. However, Acacia provides sort of satisfying food and it's located in Midtown.
consc_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-6	5.000	5.750	6.000	5.750	5.500	5.000	Let's see, Caffe Cielo and Trattoria Spaghetto... They're rather outstanding. I guess Trattoria Spaghetto offers sort of acceptable food, also it's an italian eating house. Caffe Cielo, which provides quite satisfactory food, is an italian eating place.
consc_high-compare2-Ikeno_Hana-Menchanko-Tei-6	4.750	4.000	4.500	4.500	3.000	3.000	Did you say Ikeno Hana and Menchanko-Tei? I see, well, I suppose they're quite phenomenal eating houses. Ikeno Hana provides sort of satisfying food. Menchanko-Tei, which offers satisfactory food, on the other hand, is a japanese and noodles eating place.
consc_high-compare2-Kin_Khao-Tossed-6	2.250	6.250	5.000	6.250	4.750	5.500	You want to know more about Kin Khao and Tossed? Well, i see, I suppose Kin Khao, which provides sort of satisfying food, is a thai eating place. However, Tossed, which offers rather satisfactory food, is a cafe eating house.
consc_high-compare2-Le_Rivage-Pintaile_s_Pizza-6	5.250	5.750	5.250	4.750	4.750	4.000	Let's see, Le Rivage and Pintaile's Pizza... I see, well, they're rather outstanding eating houses. Even if Pintaile's Pizza provides quite unspeakable atmosphere, it's sort of inexpensive. On the other hand, Le Rivage is in Manhattan, also its price is 40 dollars.
consc_high-compare2-Les_Routiers-Radio_Perfecto-6	5.500	4.750	5.250	4.750	5.500	6.000	Let's see what we can find on Les Routiers and Radio Perfecto. Well, i see, they're outstanding eating places. It seems to me that Les Routiers offers satisfactory food. Radio Perfecto is somewhat low-priced. This eating house, which provides quite satisfying food, is in the East Village.
consc_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-6	6.000	6.000	6.250	6.000	5.750	6.500	Did you say Mavalli Palace and Once Upon A Tart? I see, well, they're rather phenomenal eating places. I think that Once Upon A Tart is somewhat inexpensive. Mavalli Palace's price is 27 dollars. It's an indian eating house.
consc_high-compare2-Old_San_Juan-Veselka-6	4.500	4.750	5.500	6.000	3.500	5.500	Let's see, Old San Juan and Veselka... I believe you would love them. I guess Old San Juan is a latin american eating place and in Manhattan. However, Veselka is an east european eating house and in Manhattan.
consc_high-compare2-Scopa-Shabu-Tatsu-6	5.000	6.000	5.500	6.000	6.000	6.000	You want to know more about Scopa and Shabu-Tatsu? I see, well, they're quite outstanding eating places. I suppose Scopa is an italian and new american eating house with satisfying service. Shabu-Tatsu, which provides sort of satisfactory service, however, is a japanese restaurant.
consc_high-compare2-Soul_Fixins_-Walker_s-6	4.500	4.750	4.000	5.750	3.500	4.500	Let's see, Soul Fixins' and Walker's... I see, they're sort of outstanding eating houses. Even if Soul Fixins' provides unmannerly service, it's quite inexpensive. This eating place is a southern restaurant. It seems that Walker's is somewhat low-priced, even if the service is ill-mannered.
consc_high-recommend-Cent_anni-6	6.000	5.750	5.500	4.750	3.500	3.500	Did you say Cent'anni? Well, i see, it's quite the best eating house since it offers rather dainty food with sort of satisfactory service.
consc_high-recommend-Chimichurri_Grill-6	2.250	5.750	5.250	6.000	4.000	5.500	Let's see what we can find on Chimichurri Grill. I guess you would like it since this eating house, which offers sort of satisfying food and quite satisfactory waiters, is a latin american eating place.
consc_high-recommend-Edgar_s_Cafe-6	3.000	6.000	6.000	5.000	3.500	6.500	Did you say Edgar's Cafe? I imagine you would appreciate it. I guess it's sort of inexpensive and the food is somewhat quite satisfactory, also it's a cafe eating place.
consc_high-recommend-Flor_De_Mayo-6	2.250	6.250	5.000	5.500	3.000	6.000	Let's see, Flor De Mayo... I imagine you would appreciate it since its price is 18 dollars.
consc_high-recommend-Jin_Dal_Lae-6	5.250	6.000	6.250	6.000	5.500	5.500	Let's see, Jin Dal Lae... I guess you would like it. I think that this eating house, which offers rather satisfactory food, is a korean eating place. Its price is 27 dollars.
consc_high-recommend-John_s_Pizzeria-6	4.500	4.000	3.750	5.250	2.750	6.000	Let's see what we can find on John's Pizzeria. I see, well, it's one of my favourite eating houses. It offers dainty food, although the service is ill-mannered. It seems that this eating place, which is located in Midtown, is somewhat inexpensive, even if the atmosphere is rather second-rate.
consc_high-recommend-Pepolino-6	5.500	6.500	5.500	5.250	5.750	6.000	Let's see, Pepolino... I guess you would like it since this eating place, which offers rather satisfying staff, is located in TriBeCa/SoHo with sort of dainty food.
consc_high-recommend-Pietro_s-6	5.750	5.750	6.000	5.250	5.500	6.000	Let's see, Pietro's... I guess you would like it since the food is sort of dainty with quite satisfying staff.
consc_high-recommend-Trattoria_Rustica-6	6.250	6.250	6.000	6.250	4.000	4.000	Let's see what we can find on Trattoria Rustica. Well, i see, Trattoria Rustica, which is in Manhattan and an italian eating place with rather satisfactory food and sort of satisfying staff, is quite the best eating house.
consc_high-recommend-Vinnie_s_Pizza-6	4.500	5.250	6.000	6.000	4.750	5.500	You want to know more about Vinnie's Pizza? I see, it's one of my favourite eating houses. It's somewhat sort of inexpensive. I suppose this restaurant provides quite satisfactory food. This eating place, which is a pizza restaurant, is in Manhattan.
consc_low-compare2-Acacia-Marinella-5	6.000	4.750	4.500	4.750	4.750	6.000	Err... I am not sure. Acacia and Marinella are damn alright! Mmhm... Acacia provides kind of nice food, it's a bistro and french place and Marinella is an italian place and located in Manhattan.
consc_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-5	6.250	3.000	3.250	4.500	2.500	2.500	I might be wrong! I mean, there could be worse places. Err... Caffe Cielo is an italian place. Even if it offers like, nice food, the atmosphere isn't good. Trattoria Spaghetto is an italian place and the atmosphere is damn bad, this restaurant provides bad atmosphere.
consc_low-compare2-Ikeno_Hana-Menchanko-Tei-5	4.250	3.000	5.250	2.750	2.750	3.000	I might be damn wrong. I mean, I might suggest Ikeno Hana and Menchanko-Tei. Mmhm... Menchanko-Tei offers like, nice food, Ikeno Hana is a japanese and sushi place, it's a japanese and sushi place, and this restaurant is located in Midtown!
consc_low-compare2-Kin_Khao-Tossed-5	3.500	4.000	5.250	3.500	2.750	4.500	I might be bloody wrong. Kin Khao is a thai place, also the waiters aren't good. Mmhm... even if Tossed provides kind of nice food mate, it offers like, bad staff, bad waiters.
consc_low-compare2-Le_Rivage-Pintaile_s_Pizza-5	5.250	2.250	2.250	2.500	4.000	2.000	I am not sure. There could be worse places! Mmhm... even if Pintaile's Pizza isn't kind of expensive, it offers like, bad ambience, bad ambiance, but Le Rivage is bloody costly.
consc_low-compare2-Les_Routiers-Radio_Perfecto-5	2.500	5.250	5.500	5.500	4.000	4.500	Mmhm... err... I might be kind of wrong. Acceptable places. I mean, Radio Perfecto is located in the East Village with nice food, Les Routiers is located in Manhattan and its price is 41 dollars, this restaurant isn't cheap!
consc_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-5	6.750	2.750	5.000	3.000	3.750	4.500	I might be darn wrong! Err... I mean, I might advise Mavalli Palace and Once Upon A Tart. Mmhm... Mavalli Palace's price is 27 dollars and Once Upon A Tart is a cafe and sandwich place, it's a cafe and sandwich place, also it's in TriBeCa/SoHo.
consc_low-compare2-Old_San_Juan-Veselka-5	4.250	4.500	3.500	5.000	2.500	3.000	Mmhm... err... I might be bloody wrong. Old San Juan is a latin american place and in Manhattan, also the waiters aren't kind of good, and Veselka provides like, bad service.
consc_low-compare2-Scopa-Shabu-Tatsu-5	4.500	2.500	2.250	2.750	2.000	2.000	I might be darn wrong. Scopa provides kind of bad ambiance! Err... even if Shabu-Tatsu doesn't have unfriendly waiters, it offers like, poor ambience, bad atmosphere.
consc_low-compare2-Soul_Fixins_-Walker_s-5	6.500	4.250	3.250	3.750	3.750	4.000	I don't know mate! Even if Walker's's price is 25 dollars, the service isn't good. This restaurant is a bar snacks place. Err... Soul Fixins' is a southern place. The service is bloody bad, it features like, bad waiters.
consc_low-recommend-Cent_anni-5	4.750	3.000	3.750	2.500	2.500	2.500	I am not kind of sure! I mean, Cent'anni's price is 45 dollars, so this restaurant is the only place that is any good, it's damn expensive, this restaurant has nice waiters though mate and the atmosphere isn't good.
consc_low-recommend-Chimichurri_Grill-5	4.750	3.750	4.000	3.000	2.750	2.000	I am not kind of sure pal. Err... Chimichurri Grill is the only place I would advise. It doesn't provide unfriendly service! This restaurant is damn expensive, its price is 41 dollars.
consc_low-recommend-Edgar_s_Cafe-5	4.500	4.250	2.000	4.500	1.500	1.500	I might be bloody wrong. Err... Edgar's Cafe is the only place that is any good. I mean, this restaurant offers like, bad service, bad waiters, even if the food isn't kind of nasty.
consc_low-recommend-Flor_De_Mayo-5	4.250	4.000	4.250	4.500	3.500	3.000	I mean, I am not sure. Flor De Mayo isn't as bad as the others buddy. Mmhm... even if it isn't expensive, this restaurant features like, bad waiters, bad service. Err... it's a chinese and latin american place and located in the Upper West Side.
consc_low-recommend-Jin_Dal_Lae-5	2.250	4.500	4.750	4.000	2.500	5.000	Err... mmhm... I don't know buddy. There could be worse places. I mean, Jin Dal Lae provides kind of bad atmosphere, poor atmosphere, even if its price is 27 dollars.
consc_low-recommend-John_s_Pizzeria-5	4.500	1.500	4.000	3.000	3.000	3.000	Mmhm... I might be wrong. John's Pizzeria is the only place that is any good. This restaurant provides poor atmosphere, bad atmosphere, even if the food is bloody good. Err... this restaurant doesn't feature kind of good service!
consc_low-recommend-Pepolino-5	4.000	2.250	3.250	4.500	3.500	5.500	Err... I don't know. I mean, Pepolino is the only place that is any good. Mmhm... this restaurant is an italian place and in TriBeCa/SoHo with kind of bad atmosphere, also its price is 39 dollars, this restaurant isn't cheap!
consc_low-recommend-Pietro_s-5	4.250	3.500	2.750	3.500	2.250	2.000	Err... I am not kind of sure mate. I mean, Pietro's is an italian and steak house place and in Midtown West, so I would approve this restaurant, and the atmosphere is darn bad, also this restaurant's price is 56 dollars, it isn't cheap.
consc_low-recommend-Trattoria_Rustica-5	3.000	4.500	5.000	3.500	3.250	4.000	Err... mmhm... I am not sure. I mean, Trattoria Rustica is the only place that is any good! This restaurant features kind of nice waiters. It isn't cheap. Its price is 35 dollars.
consc_low-recommend-Vinnie_s_Pizza-5	5.750	4.500	3.000	3.250	2.750	2.000	I might be wrong! Vinnie's Pizza is err... in Manhattan and a pizza place, so this restaurant isn't as bad as the others, mate and it features like, kind of bad waiters, with bad atmosphere.
ems_high-compare2-Acacia-Marinella-2	1.750	6.250	5.250	5.750	3.250	6.000	Let's see, Acacia and Marinella... I guess Acacia offers sort of decent food. Basically, Marinella, however, just has quite adequate food.
ems_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-2	4.500	5.750	5.000	3.750	4.500	3.000	Let's see, Caffe Cielo and Trattoria Spaghetto... Caffe Cielo offers kind of acceptable food and Trattoria Spaghetto just has sort of satisfying food. Basically, I guess they're outstanding restaurants.
ems_high-compare2-Ikeno_Hana-Menchanko-Tei-2	3.750	5.750	4.500	3.500	2.500	5.500	Did you say Menchanko-Tei and Ikeno Hana? I think that Menchanko-Tei is a japanese and noodles restaurant. This eating house, which just has kind of passable food, is located in the Upper West Side. Basically, Ikeno Hana offers rather decent food.
ems_high-compare2-Kin_Khao-Tossed-2	6.500	5.750	5.500	5.000	5.250	2.500	Let's see, Tossed and Kin Khao... Tossed, which offers adequate food, is a cafe place. However, basically, Kin Khao just has sort of decent food. It seems to me that they're kind of fantastic restaurants.
ems_high-compare2-Le_Rivage-Pintaile_s_Pizza-2	6.750	6.250	4.750	6.250	5.750	5.500	Let's see, Le Rivage and Pintaile's Pizza... Le Rivage is in Manhattan. I think that Pintaile's Pizza, however, is in the Upper East Side, also its price is around 14 dollars. Basically, these eating places are quite phenomenal restaurants.
ems_high-compare2-Les_Routiers-Radio_Perfecto-2	6.250	6.000	5.250	4.750	5.500	4.000	You want to know more about Radio Perfecto and Les Routiers? Radio Perfecto offers sort of decent food and it's rather low-cost. However, Les Routiers just has adequate food. Basically, they're quite fantastic restaurants.
ems_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-2	5.750	5.500	5.250	6.000	5.250	5.500	Let's see, Mavalli Palace and Once Upon A Tart... Mavalli Palace is just quite low-priced, Once Upon A Tart is in TriBeCa/SoHo and it's somewhat sort of inexpensive. These eating houses are kind of phenomenal restaurants.
ems_high-compare2-Old_San_Juan-Veselka-2	4.500	6.250	5.250	6.250	5.000	6.000	You want to know more about Veselka and Old San Juan? I think that Veselka, which is located in Manhattan, is an east european eating place. Basically, Old San Juan, however, is a latin american restaurant, also it's in Manhattan.
ems_high-compare2-Scopa-Shabu-Tatsu-2	6.000	6.000	5.250	4.750	4.750	3.500	You want to know more about Shabu-Tatsu and Scopa? Basically, I think that Shabu-Tatsu, which has rather acceptable waiters, is a japanese eating place. However, Scopa has quite satisfying staff. They're sort of phenomenal restaurants.
ems_high-compare2-Soul_Fixins_-Walker_s-2	6.250	5.500	5.500	5.750	5.250	3.500	Let's see, Walker's and Soul Fixins'... Walker's is a bar snacks eating house and its price is 25 dollars. Basically, Soul Fixins', on the other hand, is somewhat quite inexpensive. I guess they're rather phenomenal restaurants.
ems_high-recommend-Cent_anni-2	6.000	5.750	5.500	6.000	5.000	4.500	Did you say Cent'anni? Basically, it seems to me that it's the best because the staff is somewhat quite adequate, also this eating house offers kind of tasty food.
ems_high-recommend-Chimichurri_Grill-2	6.750	6.000	6.000	5.750	6.250	6.000	Let's see what we can find on Chimichurri Grill. Basically, it's the best.
ems_high-recommend-Edgar_s_Cafe-2	5.750	6.500	6.000	5.750	3.750	6.000	You want to know more about Edgar's Cafe? Basically, I think that Edgar's Cafe, which has rather decent food, is kind of the best restaurant.
ems_high-recommend-Flor_De_Mayo-2	5.750	6.250	5.500	4.000	4.750	2.500	Did you say Flor De Mayo? Basically, it seems that Flor De Mayo, which just has rather satisfying food, is the best.
ems_high-recommend-Jin_Dal_Lae-2	5.750	6.000	5.750	5.750	5.500	2.500	Let's see what we can find on Jin Dal Lae. Because Jin Dal Lae's price is around 27 dollars, also the food is somewhat quite satisfying just, this eating house is kind of the best restaurant.
ems_high-recommend-John_s_Pizzeria-2	6.500	6.000	6.000	6.000	5.500	6.500	Did you say John's Pizzeria? Basically, it's kind of the best restaurant since the food is sort of tasty, also this eating place is somewhat quite inexpensive.
ems_high-recommend-Pepolino-2	2.500	5.500	5.250	4.000	2.500	4.000	Did you say Pepolino? Basically, I think that Pepolino, which just has rather decent staff, is sort of the best restaurant of its kind.
ems_high-recommend-Pietro_s-2	2.500	5.750	5.000	5.000	4.000	3.000	You want to know more about Pietro's? Basically, Pietro's, which has kind of passable waiters, is sort of the best restaurant.
ems_high-recommend-Trattoria_Rustica-2	6.750	6.500	6.000	6.000	5.250	6.500	Let's see what we can find on Trattoria Rustica. Basically, it's the best because the service is just quite friendly.
ems_high-recommend-Vinnie_s_Pizza-2	6.000	6.000	6.000	6.250	5.500	6.000	You want to know more about Vinnie's Pizza? It seems that it just has quite acceptable food. Basically, its price is around 13 dollars. This eating place is the best.
ems_low-compare2-Acacia-Marinella-1	5.750	3.500	4.750	4.750	3.500	5.000	I might be wrong. I might approve Acacia and Marinella. Err... Acacia provides like, acceptable food. It's in Midtown! It's a bistro and french place. Actually, I mean, Marinella is in Manhattan and an it-it-italian place.
ems_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-1	6.250	3.750	4.250	5.250	4.500	4.000	I am not sure! Actually, I might recommend Caffe Cielo and Trattoria Spaghetto. Caffe Cielo, which has poor atmosphere, bad atmosphere, even if it features like, nice food, is an italian re-restaurant. Trattoria Spaghetto is an it-italian place. I mean, it provides... it offers really bad atmosphere.
ems_low-compare2-Ikeno_Hana-Menchanko-Tei-1	4.000	4.750	5.750	5.000	4.750	4.500	I don't know! I might recommend Ikeno Hana and Menchanko-Tei. Menchanko-Tei features like, really nice food. It's err... in the Upper West Side and it's a japanese and noodles place, a ja-ja-japanese and noodles place. I mean, Ikeno Hana is in Midtown and a japanese and sushi place.
ems_low-compare2-Kin_Khao-Tossed-1	3.000	3.250	4.000	5.500	4.000	3.000	I don't know. I might re-re-recommend Kin Khao and Tossed. Even if Kin Khao offers adequate food, I mean, it has bad waiters. Err... it's a thai place. Actually, Tossed is a cafe re-restaurant. It provides nice food. It features bad service. It has like, really rude waiters.
ems_low-compare2-Le_Rivage-Pintaile_s_Pizza-1	4.000	2.250	3.750	3.250	2.500	3.000	I don't know. I might ap-ap-approve Le Rivage and Pintaile's Pizza. Even if Pintaile's Pizza is cheap, it features like, bad atmosphere. Le Rivage is in Manhattan! Err... actually, it provides really bad atmosphere. Its price is 40 do-do-dollars.
ems_low-compare2-Les_Routiers-Radio_Perfecto-1	5.500	3.250	4.750	5.500	4.250	5.500	I don't know. I mean, actually, I might recommend Les Routiers and Radio Perfecto. Radio Perfecto's price is 25 dollars. It provides adequate food. It's err... in the East Village. Les Routiers is... it's expensive, but it features ac-ac-acceptable food th-though!
ems_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-1	6.000	3.500	4.500	2.750	3.500	4.000	I don't know. I mean, actually, Mavalli Palace and Once Upon A Tart are the only places I would recommend! Err... Mavalli Palace's price is 27 dollars. This restaurant, which is an indian place, an in-indian place, is in Murray Hill, located in Murray Hill. Once Upon A Tart is in TriBeCa/SoHo.
