id	avg.extra	avg.ems	avg.agree	avg.consc	avg.open	avg.naturalness	realization
random-KashiVishwanath-upperwestsideasian_compare2-6	5.500	n/a	n/a	n/a	n/a	3.667	Basically, Lemongrass Grill just has kind of second-rate atmosphere, the ambiance is mediocre, it's a thai restaurant and Monsoon doesn't feature nasty ambience!
random-KashiVishwanath-upperwestsideasian_compare2-7	6.000	n/a	n/a	n/a	n/a	3.333	Well, actually, Monsoon has pleasant ambience, quite acceptable ambiance, but Lemongrass Grill, which doesn't feature good atmosphere, is a thai restaurant!
random-KashiVishwanath-upperwestsideasian_compare2-8	2.667	n/a	n/a	n/a	n/a	3.333	Monsoon has sort of acceptable ambience. However, actually, Lemongrass Grill features mediocre ambiance.
random-KashiVishwanath-upperwestsideasian_compare2-9	5.500	n/a	n/a	n/a	n/a	5.000	Actually, Lemongrass Grill is a thai restaurant, you know. Actually, Monsoon, which has acceptable ambience, however, is a vietnamese place, you know.
random-KashiVishwanath-upperwestsideasian_recommend-10	5.833	n/a	n/a	n/a	n/a	6.333	Ruby Foo's isn't as bad as the others, it's the only place that is any good!
random-KashiVishwanath-upperwestsideasian_recommend-11	6.167	n/a	n/a	n/a	n/a	5.667	Ruby Foo's has nice service with good food, good food. It's one of my favourite places, I am sure you would like it.
random-KashiVishwanath-upperwestsideasian_recommend-6	4.333	n/a	n/a	n/a	n/a	3.333	Ruby Foo's isn't as bad as the others. It doesn't feature rather bad food. The food is somewhat nice, isn't it? It just has adequate waiters.
random-KashiVishwanath-upperwestsideasian_recommend-7	3.833	n/a	n/a	n/a	n/a	4.000	Ok, Ruby Foo's has nice service, friendly servers. The food isn't somewhat bad. It isn't as bad as the others.
random-KashiVishwanath-upperwestsideasian_recommend-8	4.167	n/a	n/a	n/a	n/a	3.333	Ruby Foo's is a kind of chinese, japanese and thai eating place, it's a kind of chinese, japanese and thai restaurant. It doesn't feature nasty ambience. It's the only eating house I would recommend.
random-KashiVishwanath-upperwestsideasian_recommend-9	6.167	n/a	n/a	n/a	n/a	5.000	Ruby Foo's features like, quite friendly staff! The food is tasty. It has like, quite good ambiance, nice ambience. It's one of my favourite restaurants, isn't it?
random-OwenRambow-cheap_recommend-10	3.333	n/a	n/a	n/a	n/a	4.000	Amy's Bread is one of my favourite restaurants. The food isn't kind of nasty. It features adequate service. Err... the staff is acceptable.
random-OwenRambow-cheap_recommend-11	5.500	n/a	n/a	n/a	n/a	5.333	Amy's Bread isn't as bad as the others. It seems that it's cheap. The food is good and it has friendly staff, acceptable service!
random-OwenRambow-cheap_recommend-12	6.000	n/a	n/a	n/a	n/a	3.333	Basically, Amy's Bread features sort of kind of acceptable waiters and dainty food, so it's the best restaurant of its kind!
random-OwenRambow-cheap_recommend-13	4.500	n/a	n/a	n/a	n/a	4.000	You want to know more about Amy's Bread? It has nice waiters and poor atmosphere, so it's one of my favourite places, you see?
random-OwenRambow-cheap_recommend-14	4.333	n/a	n/a	n/a	n/a	4.333	Let's see what we can find on Amy's Bread. It features quite acceptable service, but the atmosphere isn't good though, you know, alright? It isn't as bad as the others.
random-OwenRambow-cheap_recommend-15	4.167	n/a	n/a	n/a	n/a	3.667	You want to know more about Amy's Bread? Err... basically, it's the only eating place that is any good, you know. Err... actually, it's the best eating house. Actually, basically, the service isn't nasty, although it features second-rate atmosphere, you know.
random-OwenRambow-cheap_recommend-16	5.333	n/a	n/a	n/a	n/a	4.000	Let's see what we can find on Amy's Bread. It features second-rate atmosphere, even if the food is dainty. I am sure you would like it. It isn't as bad as the others.
random-OwenRambow-cheap_recommend-6	3.333	n/a	n/a	n/a	n/a	2.667	Err... actually, Amy's Bread is one of my favourite places, one of my favourite places, with good food, good food, isn't it?
random-OwenRambow-cheap_recommend-7	4.833	n/a	n/a	n/a	n/a	4.667	I mean, it seems to me that Amy's Bread has like, bad atmosphere, and nice servers. Actually, it's the only place I would recommend! It isn't as bad as the others, is it?
random-OwenRambow-cheap_recommend-8	4.500	n/a	n/a	n/a	n/a	6.000	Amy's Bread just has nice servers and good food. It's cheap, although the atmosphere is bad, its price is 12 dollars. It isn't as bad as the others.
random-OwenRambow-cheap_recommend-9	2.667	n/a	n/a	n/a	n/a	4.333	I am sort of quite sure you would like Amy's Bread.
random-OwenRambow-eastvillagejapanese_compare2-10	4.667	n/a	n/a	n/a	n/a	5.333	I see, right, Japonica has quite acceptable ambience, kind of pleasant ambiance. On the other hand, Dojo features really poor atmosphere, doesn't it?
random-OwenRambow-eastvillagejapanese_compare2-11	5.833	n/a	n/a	n/a	n/a	2.000	Ok, Japonica features nice food, it has good food. It seems that this restaurant, which has rather acceptable atmosphere, is costly. Dojo is cheap, its price is 14 dollars, and the ambience is poor, you know.
random-OwenRambow-eastvillagejapanese_compare2-12	4.500	n/a	n/a	n/a	n/a	5.000	Dojo has decent food. Its price is 14 dollars, even if this restaurant has poor ambiance, bad ambience. Japonica's price is 37 dollars and the food is kind of nice.
random-OwenRambow-eastvillagejapanese_compare2-13	4.833	n/a	n/a	n/a	n/a	5.000	Dojo's price is 14 dollars, also the food is acceptable. Japonica just has good food. The food is really good. This restaurant just has really nice atmosphere, doesn't it?
random-OwenRambow-eastvillagejapanese_compare2-14	4.333	n/a	n/a	n/a	n/a	5.667	Even if Japonica has good food, it's quite expensive. Err... this restaurant has acceptable atmosphere. Even if Dojo has adequate food, the atmosphere is sort of poor, okay?
random-OwenRambow-eastvillagejapanese_compare2-15	4.500	n/a	n/a	n/a	n/a	5.333	Japonica has tasty food and pleasant ambience. Dojo is inexpensive, although it features mediocre ambiance. It has decent food. It has adequate food, doesn't it?
random-OwenRambow-eastvillagejapanese_compare2-16	5.167	n/a	n/a	n/a	n/a	5.667	I think that Dojo's price is 14 dollars, but it doesn't have kind of good ambience though. Although Japonica's price is 37 dollars, the food is really nice. Basically, this restaurant just has like, decent ambiance.
random-OwenRambow-eastvillagejapanese_compare2-6	6.333	n/a	n/a	n/a	n/a	5.667	Dojo's price is 14 dollars. However, the atmosphere is bad, isn't it? I mean, it has adequate food, nice food. Japonica has really good food, although its price is 37 dollars. The atmosphere is acceptable.
random-OwenRambow-eastvillagejapanese_compare2-7	3.833	n/a	n/a	n/a	n/a	3.333	Ok, I think that Japonica features like, quite pleasant ambience, the ambiance isn't nasty, the food is nice, Dojo has decent food, satisfactory food, and its price is 14 dollars.
random-OwenRambow-eastvillagejapanese_compare2-8	3.833	n/a	n/a	n/a	n/a	6.000	Err... basically, Japonica has decent ambiance, Dojo features passable food and it isn't expensive, its price is 14 dollars.
random-OwenRambow-eastvillagejapanese_compare2-9	6.167	n/a	n/a	n/a	n/a	2.667	Dojo, which has bad atmosphere, is just cheap. Japonica doesn't have nasty food, even if it's expensive, it has good food. It has acceptable atmosphere! The atmosphere is nice.
random-OwenRambow-italianwestvillage_recommend-10	5.667	n/a	n/a	n/a	n/a	4.667	I mean, John's Pizzeria's price is 20 dollars, although it features rather poor ambience. I mean, I think that I am sure you would like it, I am rather sure you would like it.
random-OwenRambow-italianwestvillage_recommend-11	3.333	n/a	n/a	n/a	n/a	3.000	Right, John's Pizzeria doesn't feature bad food, does it? It isn't as bad as the others, it isn't as bad as the others.
random-OwenRambow-italianwestvillage_recommend-12	6.833	n/a	n/a	n/a	n/a	6.000	Let's see what we can find on John's Pizzeria. It seems to me that it's really the best place of its kind since the food is nice and this restaurant is quite kind of cheap!
random-OwenRambow-italianwestvillage_recommend-13	5.000	n/a	n/a	n/a	n/a	3.667	I mean, John's Pizzeria is one of my favourite places because this restaurant, which just has like, poor atmosphere, isn't somewhat expensive.
random-OwenRambow-italianwestvillage_recommend-14	3.833	n/a	n/a	n/a	n/a	5.667	Right, yeah, John's Pizzeria is inexpensive with tasty food, so it isn't as bad as the others.
random-OwenRambow-italianwestvillage_recommend-15	5.667	n/a	n/a	n/a	n/a	6.333	Even if John's Pizzeria has poor ambience, it isn't expensive. It's the only place I would recommend.
random-OwenRambow-italianwestvillage_recommend-16	5.833	n/a	n/a	n/a	n/a	6.333	I am sure you would like John's Pizzeria since this restaurant, which has good food, is cheap.
random-OwenRambow-italianwestvillage_recommend-6	5.500	n/a	n/a	n/a	n/a	5.333	Yeah, John's Pizzeria is one of my favourite restaurants, one of my favourite eating houses, isn't it? It features really nice food and its price is 20 dollars.
random-OwenRambow-italianwestvillage_recommend-7	3.833	n/a	n/a	n/a	n/a	4.667	John's Pizzeria features mediocre ambience but the food isn't nasty. It's inexpensive. It's one of my favourite restaurants, isn't it?
random-OwenRambow-italianwestvillage_recommend-8	3.833	n/a	n/a	n/a	n/a	4.333	Well, John's Pizzeria is the best with kind of tasty food, kind of nice food, isn't it?
random-OwenRambow-italianwestvillage_recommend-9	3.833	n/a	n/a	n/a	n/a	6.333	John's Pizzeria isn't as bad as the others. The food is sort of nice and it's sort of inexpensive.
random-OwenRambow-midtownwest_compare3-10	3.833	n/a	n/a	n/a	n/a	3.333	John's Pizzeria doesn't have unfriendly service. Daily Soup has bad service. It's cheap, its price is 10 dollars. John's Pizzeria and Daily Soup are some of my favourite places, aren't they?
random-OwenRambow-midtownwest_compare3-11	6.000	n/a	n/a	n/a	n/a	4.333	Right, I think that I am somewhat rather sure you would like John's Pizzeria and Daily Soup. Daily Soup is somewhat inexpensive, it has passable food, rather satisfying food, with second-rate ambiance, John's Pizzeria's price is 20 dollars and it features tasty food, welcoming waiters and mediocre ambience.
random-OwenRambow-midtownwest_compare3-12	5.500	n/a	n/a	n/a	n/a	4.667	You want to know more about Daily Soup and John's Pizzeria? Daily Soup doesn't have kind of nasty food. The atmosphere is just poor, even if this restaurant's price is 10 dollars. John's Pizzeria has friendly service and good food and its price is 20 dollars, you see? I would recommend these restaurants. I think that I am sure you would like them.
random-OwenRambow-midtownwest_compare3-13	4.833	n/a	n/a	n/a	n/a	4.000	Ok, err... John's Pizzeria, which features satisfactory waiters and dainty food, is inexpensive. It seems to me that Daily Soup has ill-mannered waiters. The food is acceptable, although the atmosphere is kind of second-rate. These eating places are some of my favourite restaurants, some of my favourite eating houses.
random-OwenRambow-midtownwest_compare3-14	4.667	n/a	n/a	n/a	n/a	6.000	Let's see what we can find on John's Pizzeria and Daily Soup. John's Pizzeria just has friendly waiters and good food. Its price is 20 dollars. Daily Soup is cheap with adequate food. I might recommend them.
random-OwenRambow-midtownwest_compare3-15	6.333	n/a	n/a	n/a	n/a	6.000	You want to know more about John's Pizzeria and Daily Soup? I am sure you would like them, okay? John's Pizzeria's price is 20 dollars and it has tasty food and quite friendly waiters! Even if Daily Soup has poor atmosphere, its price is 10 dollars. This restaurant has adequate food.
random-OwenRambow-midtownwest_compare3-16	4.833	n/a	n/a	n/a	n/a	4.333	Let's see what we can find on John's Pizzeria and Daily Soup. I would recommend them. John's Pizzeria has rather bad atmosphere. Its price is 20 dollars. It's cheap. It has like, acceptable service. Daily Soup has bad service. The food is adequate, even if this restaurant has poor atmosphere.
random-OwenRambow-midtownwest_compare3-6	5.667	n/a	n/a	n/a	n/a	5.000	Daily Soup has poor atmosphere. The service is bad with nice food and its price is 10 dollars. I think that John's Pizzeria just has bad ambience, friendly service and good food and its price is 20 dollars. John's Pizzeria and Daily Soup are some of my favourite places, I am sure you would like them.
random-OwenRambow-midtownwest_compare3-7	6.333	n/a	n/a	n/a	n/a	6.000	Yeah, Daily Soup has adequate food. The atmosphere is poor but its price is 10 dollars. John's Pizzeria features like, nice servers, and tasty food, good food, you know and it's cheap, its price is 20 dollars. It seems that John's Pizzeria and Daily Soup are some of my favourite places.
random-OwenRambow-midtownwest_compare3-8	5.500	n/a	n/a	n/a	n/a	6.000	I am sure you would like John's Pizzeria and Daily Soup. John's Pizzeria has good food, it's cheap and it features friendly servers. Daily Soup has nice food, doesn't it?
random-OwenRambow-midtownwest_compare3-9	4.833	n/a	n/a	n/a	n/a	4.000	Well, Daily Soup has second-rate ambience, you know. Although John's Pizzeria features decent staff, you know, the ambiance is quite mediocre. I am quite sure you would like John's Pizzeria and Daily Soup.
random-OwenRambow-midtownwest_recommend-10	6.333	n/a	n/a	n/a	n/a	3.000	I see, err... Azuri Cafe is one of my favourite restaurants, it's one of my favourite places. This restaurant, which doesn't have good atmosphere even if its price is 14 dollars, is like, a really kosher and vegetarian place, with good food and bad servers.
random-OwenRambow-midtownwest_recommend-11	4.000	n/a	n/a	n/a	n/a	1.667	Yeah, basically, I think that Azuri Cafe doesn't feature sort of kind of bad food. Basically, it's above the competition, the sort of kind of best restaurant, isn't it?
random-OwenRambow-midtownwest_recommend-12	4.500	n/a	n/a	n/a	n/a	4.000	Right, I mean, Azuri Cafe is the best restaurant since it has dainty food, this eating house features kind of quite second-rate atmosphere, but its price is 14 dollars though.
random-OwenRambow-midtownwest_recommend-13	5.667	n/a	n/a	n/a	n/a	6.333	You want to know more about Azuri Cafe? I see, it's one of my favourite places. This restaurant, which has good food, is a kosher and vegetarian place. This restaurant's price is 14 dollars.
random-OwenRambow-midtownwest_recommend-14	5.833	n/a	n/a	n/a	n/a	5.000	Let's see what we can find on Azuri Cafe and. Yeah, Azuri Cafe is the only restaurant I would recommend. It's the only place that is any good. It's a kosher and vegetarian place, isn't it? This eating place, which doesn't feature nasty food, is inexpensive.
random-OwenRambow-midtownwest_recommend-15	4.167	n/a	n/a	n/a	n/a	3.333	You want to know more about Azuri Cafe? It's one of my favourite places because the waiters are rude, this restaurant has poor ambience, but it's cheap though.
random-OwenRambow-midtownwest_recommend-16	3.833	n/a	n/a	n/a	n/a	3.000	Azuri Cafe is above the competition. It has like, poor ambience, even if its price is 14 dollars, you know alright? The food is nice.
random-OwenRambow-midtownwest_recommend-6	6.500	n/a	n/a	n/a	n/a	3.667	Azuri Cafe is the best restaurant of its kind. Its price is 14 dollars, it's really cheap. It features good food, it has nice food. It's a kosher and vegetarian place, isn't it?
random-OwenRambow-midtownwest_recommend-7	5.000	n/a	n/a	n/a	n/a	5.667	Azuri Cafe isn't as bad as the others. It's the only restaurant I would recommend. It's rather kind of inexpensive.
random-OwenRambow-midtownwest_recommend-8	4.333	n/a	n/a	n/a	n/a	5.333	Azuri Cafe features rude waiters. The food is nice, although it doesn't have good ambience. It's the only restaurant I would recommend.
random-OwenRambow-midtownwest_recommend-9	6.167	n/a	n/a	n/a	n/a	4.667	Yeah, Azuri Cafe features rude waiters, it's a kosher and vegetarian restaurant and the food is nice. Its price is 14 dollars, even if the ambience is poor. I am sure you would like it, it's the best.
random-OwenRambow-upperwestsideasian_compare2-10	4.333	n/a	n/a	n/a	n/a	5.000	Right, Lemongrass Grill, which doesn't feature good ambience, is sort of quite low-priced. Monsoon is somewhat low-cost with acceptable ambiance, isn't it?
random-OwenRambow-upperwestsideasian_compare2-11	3.500	n/a	n/a	n/a	n/a	3.333	Right, err... Lemongrass Grill is sort of low-cost. Monsoon's price is 26 dollars. Its price is 26 dollars. It doesn't have kind of nasty atmosphere.
random-OwenRambow-upperwestsideasian_compare2-6	5.000	n/a	n/a	n/a	n/a	4.000	Lemongrass Grill, which has poor atmosphere, quite bad atmosphere, is somewhat affordable. Monsoon is low-cost and it has like, nice atmosphere, it has nice atmosphere, you know.
random-OwenRambow-upperwestsideasian_compare2-7	5.667	n/a	n/a	n/a	n/a	2.667	Basically, I mean, it seems that Lemongrass Grill is affordable, it's rather low-priced. Basically, I mean, Monsoon is low-cost. It doesn't feature rather nasty ambience!
random-OwenRambow-upperwestsideasian_compare2-8	3.667	n/a	n/a	n/a	n/a	3.667	Monsoon's price is 26 dollars. It just has pleasant ambiance. It has acceptable ambience. Lemongrass Grill features kind of poor atmosphere, quite mediocre atmosphere, doesn't it?
random-OwenRambow-upperwestsideasian_compare2-9	4.333	n/a	n/a	n/a	n/a	5.000	Ok, well, Monsoon features pleasant ambience, the ambiance is quite satisfactory. It seems that Lemongrass Grill has quite mediocre atmosphere.
random-OwenRambow-upperwestsideasian_recommend-10	5.333	n/a	n/a	n/a	n/a	2.000	It seems to me that Flor De Mayo is the only eating house I would recommend. This restaurant, which doesn't feature nasty food, is inexpensive. The servers are quite friendly, the waiters are adequate, it's a chinese and latin american eating place, it's a chinese and latin american restaurant, it's quite located in Uptown Manhattan and the ambience is mediocre.
random-OwenRambow-upperwestsideasian_recommend-11	4.833	n/a	n/a	n/a	n/a	3.667	Err... I mean, I am quite sure you would like Flor De Mayo. It's cheap, it's just cheap, and the food is good. It seems that the service isn't nasty. It's a chinese and latin american place and in Uptown Manhattan.
random-OwenRambow-upperwestsideasian_recommend-12	6.167	n/a	n/a	n/a	n/a	6.000	Let's see what we can find on Flor De Mayo. Basically, Flor De Mayo, which features acceptable service and tasty food, is inexpensive, you know. It seems that this eating place is in Uptown Manhattan. I am sure you would like it.
random-OwenRambow-upperwestsideasian_recommend-13	5.500	n/a	n/a	n/a	n/a	4.000	Because Flor De Mayo's price is 18 dollars and it has good food, good food, and kind of quite acceptable waiters, basically, I am sure you would like this restaurant.
random-OwenRambow-upperwestsideasian_recommend-14	6.333	n/a	n/a	n/a	n/a	6.333	Yeah, Flor De Mayo is the only place that is any good, alright? This restaurant is the only place I would recommend. It's a chinese and latin american restaurant and located in Uptown Manhattan with friendly waiters and really good food.
random-OwenRambow-upperwestsideasian_recommend-15	6.833	n/a	n/a	n/a	n/a	6.000	You want to know more about Flor De Mayo? It's rather kind of the best restaurant of its kind because it features tasty food and quite friendly waiters and this eating house is inexpensive, you know!
random-OwenRambow-upperwestsideasian_recommend-16	5.000	n/a	n/a	n/a	n/a	3.333	Ok, i see, Flor De Mayo is the best place of its kind since this restaurant, which has nice waiters and really sort of bad atmosphere, is located in Uptown Manhattan, it's above the competition.
random-OwenRambow-upperwestsideasian_recommend-6	3.667	n/a	n/a	n/a	n/a	3.667	Flor De Mayo isn't as bad as the others, is it? Its price is 18 dollars and it features nice food with kind of decent servers, satisfactory waiters.
random-OwenRambow-upperwestsideasian_recommend-7	6.833	n/a	n/a	n/a	n/a	5.333	Right, i see, Flor De Mayo is one of my favourite eating places. It's the only restaurant I would recommend, you know. I think that this restaurant, which features nice food with friendly staff, is somewhat inexpensive, you know.
random-OwenRambow-upperwestsideasian_recommend-8	5.667	n/a	n/a	n/a	n/a	1.667	Flor De Mayo is the only eating house that is any good. I mean, it's inexpensive. I mean, it features nice food, the servers are friendly, the waiters are acceptable, it's located in Uptown Manhattan and it's a rather chinese and latin american eating place, it's a rather chinese and latin american restaurant.
random-OwenRambow-upperwestsideasian_recommend-9	4.667	n/a	n/a	n/a	n/a	1.667	I see, basically, Flor De Mayo is like, the rather best restaurant, above the competition, with sort of decent waiters, satisfactory staff, isn't it?
random-RachelOstrand-cheap_compare3-10	4.667	n/a	n/a	n/a	n/a	6.000	I see, I would recommend Ferrara, Mangia and Joe's Shanghai. Err... actually, Ferrara's price is 17 dollars. The food is good. The atmosphere is nice. Err... actually, it seems to me that Joe's Shanghai has sort of good food and its price is 23 dollars. Mangia, which has good food and sort of nice atmosphere, is cheap.
random-RachelOstrand-cheap_compare3-11	6.167	n/a	n/a	n/a	n/a	5.333	Although Joe's Shanghai features mediocre atmosphere, it's low-priced. Ferrara, on the other hand, has pleasant ambiance and nice food. Mangia, which has acceptable ambience, is just inexpensive. It seems that Ferrara, Mangia and Joe's Shanghai are some of my favourite restaurants.
random-RachelOstrand-cheap_compare3-6	4.500	n/a	n/a	n/a	n/a	4.667	Acceptable places. Actually, Ferrara is cheap, the food is good, the food is good, Mangia's price is 20 dollars and it has good food and quite nice atmosphere. Joe's Shanghai's price is 23 dollars. The food is good but the atmosphere is just sort of bad.
random-RachelOstrand-cheap_compare3-7	4.167	n/a	n/a	n/a	n/a	5.667	Err... well, Joe's Shanghai's price is 23 dollars, it's kind of low-priced. It just has tasty food. I think that Mangia, which just has good food, is inexpensive. Err... Ferrara features kind of dainty food, nice food, and its price is 17 dollars. Ferrara, Mangia and Joe's Shanghai are outstanding eating houses, aren't they?
random-RachelOstrand-cheap_compare3-8	3.167	n/a	n/a	n/a	n/a	3.000	Ferrara, Mangia and Joe's Shanghai are the only places that are any good. Mangia has nice atmosphere. Ferrara doesn't have nasty atmosphere. On the other hand, Joe's Shanghai has bad atmosphere.
random-RachelOstrand-cheap_compare3-9	6.667	n/a	n/a	n/a	n/a	6.333	Well, Ferrara, Mangia and Joe's Shanghai are some of my favourite places, I am sure you would like them. Mangia has good food, its price is 20 dollars and Ferrara is cheap with good food and nice atmosphere. Joe's Shanghai is affordable, isn't it? Even if the food is good, the atmosphere is bad.
random-RachelOstrand-eastvillagejapanese_compare2-10	5.667	n/a	n/a	n/a	n/a	5.000	Japonica, which features nice food, is a japanese and sushi restaurant with acceptable ambiance. Dojo is a japanese and vegetarian eating house, isn't it? The food isn't nasty, even if the ambience is second-rate, the atmosphere is mediocre.
random-RachelOstrand-eastvillagejapanese_compare2-11	5.000	n/a	n/a	n/a	n/a	2.000	Japonica doesn't have sort of nasty food. The ambiance is somewhat quite sort of satisfactory. It seems to me that it's a japanese and sushi eating house, you know. Dojo features quite passable food, the food is somewhat satisfying, you know.
random-RachelOstrand-eastvillagejapanese_compare2-6	5.833	n/a	n/a	n/a	n/a	5.333	Dojo has quite poor ambience. Actually, the food is nice, isn't it? The food isn't nasty. It's a japanese and vegetarian place. It seems that Japonica is like, a japanese and sushi restaurant, and the atmosphere is just acceptable with good food.
random-RachelOstrand-eastvillagejapanese_compare2-7	3.500	n/a	n/a	n/a	n/a	4.000	Dojo is a rather japanese and vegetarian place! Err... actually, the food is rather nice. Err... it just has acceptable food, doesn't it? Actually, Japonica, which just has nice atmosphere with good food, is a japanese and sushi place.
random-RachelOstrand-eastvillagejapanese_compare2-8	3.667	n/a	n/a	n/a	n/a	5.000	I see, Dojo features kind of acceptable food. Basically, the food is adequate. Actually, Japonica doesn't have nasty food, the food is nice.
random-RachelOstrand-eastvillagejapanese_compare2-9	4.667	n/a	n/a	n/a	n/a	4.333	Dojo doesn't feature nasty food. Japonica is a japanese and sushi eating house. It's a japanese and sushi eating place. It has satisfactory ambiance, pleasant ambience, and the food is tasty.
random-RachelOstrand-eastvillagejapanese_recommend-10	6.333	n/a	n/a	n/a	n/a	4.667	Bond Street's price is 51 dollars and it doesn't feature bad ambience. It has wonderful food. It has excellent food. Actually, it's the only restaurant I would recommend.
random-RachelOstrand-eastvillagejapanese_recommend-11	6.000	n/a	n/a	n/a	n/a	5.333	Right, Bond Street is the best place of its kind, you know. It has kind of excellent food, kind of great food, you know!
random-RachelOstrand-eastvillagejapanese_recommend-6	6.167	n/a	n/a	n/a	n/a	4.667	Well, Bond Street, which has great food, great food, even if it's kind of expensive, is a japanese and sushi place. Actually, it's the only place that is any good, it's the really best place.
random-RachelOstrand-eastvillagejapanese_recommend-7	4.500	n/a	n/a	n/a	n/a	5.000	Bond Street doesn't feature quite nasty staff, does it? I think that it isn't as bad as the others, I am quite sure you would like it.
