@relation 'ear-liwc-speech-act-mrc-weka.filters.unsupervised.attribute.Remove-R105-118-weka.filters.unsupervised.attribute.Remove-R16,109-546,552-574,580-607-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R118-122-weka.filters.unsupervised.attribute.Remove-R119-122'

@attribute word-per-sec numeric
@attribute voiced-time numeric
@attribute pitch-mean numeric
@attribute pitch-min numeric
@attribute pitch-max numeric
@attribute pitch-stddev numeric
@attribute pitch-slope numeric
@attribute int-mean numeric
@attribute int-min numeric
@attribute int-max numeric
@attribute int-stddev numeric
@attribute AOA numeric
@attribute BROWN-FREQ numeric
@attribute CONC numeric
@attribute FAM numeric
@attribute IMAG numeric
@attribute K-F-FREQ numeric
@attribute K-F-NCATS numeric
@attribute K-F-NSAMP numeric
@attribute MEANC numeric
@attribute MEANP numeric
@attribute NLET numeric
@attribute NPHON numeric
@attribute NSYL numeric
@attribute T-L-FREQ numeric
@attribute WC numeric
@attribute WPS numeric
@attribute Qmarks numeric
@attribute Unique numeric
@attribute Dic numeric
@attribute Sixltr numeric
@attribute Abbreviations numeric
@attribute Emoticons numeric
@attribute Pronoun numeric
@attribute I numeric
@attribute We numeric
@attribute Self numeric
@attribute You numeric
@attribute Other numeric
@attribute Negate numeric
@attribute Assent numeric
@attribute Article numeric
@attribute Preps numeric
@attribute Number numeric
@attribute Affect numeric
@attribute Posemo numeric
@attribute Posfeel numeric
@attribute Optim numeric
@attribute Negemo numeric
@attribute Anx numeric
@attribute Anger numeric
@attribute Sad numeric
@attribute Cogmech numeric
@attribute Cause numeric
@attribute Insight numeric
@attribute Discrep numeric
@attribute Inhib numeric
@attribute Tentat numeric
@attribute Certain numeric
@attribute Senses numeric
@attribute See numeric
@attribute Hear numeric
@attribute Feel numeric
@attribute Social numeric
@attribute Comm numeric
@attribute Othref numeric
@attribute Friends numeric
@attribute Family numeric
@attribute Humans numeric
@attribute Time numeric
@attribute Past numeric
@attribute Present numeric
@attribute Future numeric
@attribute Space numeric
@attribute Up numeric
@attribute Down numeric
@attribute Incl numeric
@attribute Excl numeric
@attribute Motion numeric
@attribute Occup numeric
@attribute School numeric
@attribute Job numeric
@attribute Achieve numeric
@attribute Leisure numeric
@attribute Home numeric
@attribute Sports numeric
@attribute TV numeric
@attribute Music numeric
@attribute Money numeric
@attribute Metaph numeric
@attribute Relig numeric
@attribute Death numeric
@attribute Physcal numeric
@attribute Body numeric
@attribute Sexual numeric
@attribute Eating numeric
@attribute Sleep numeric
@attribute Groom numeric
@attribute Swear numeric
@attribute Nonfl numeric
@attribute Fillers numeric
@attribute Period numeric
@attribute Comma numeric
@attribute Colon numeric
@attribute SemiC numeric
@attribute QMark numeric
@attribute Exclam numeric
@attribute Dash numeric
@attribute Quote numeric
@attribute Apostro numeric
@attribute Parenth numeric
@attribute OtherP numeric
@attribute AllPct numeric
@attribute ASSERTION numeric
@attribute COMMAND numeric
@attribute PROMPT numeric
@attribute QUESTION numeric
@attribute EXT.S numeric

@data
1.279746,911.9,189.05,38.09,634.75,104.12,291.07,65.53,1.04,85.83,7.53,275.810127,1838.910232,312.96358,601.663959,335.518782,6383.453608,13.961575,327.421743,379.053135,639.722222,3.459908,2.663113,1.120459,30075.072581,1167,8.84,2.06,32.82,83.55,7.46,0,0,15,5.06,0.77,5.83,4.2,1.8,2.74,2.57,4.8,6.94,1.03,6.6,3.43,1.03,0.09,3.17,0.09,1.89,0,8.05,0.86,2.14,3.08,0.51,3.17,1.11,3.08,0.94,0.43,0.43,8.83,0.6,7.03,0.09,0,0.86,3.77,4.46,18.94,0.86,3.86,1.29,0.26,3.43,6.43,1.63,2.14,0.77,0.6,0.94,0.26,0,0.09,0,0.17,0.6,0.6,0.51,0.09,2.74,0.51,0.69,1.63,0,0,2.23,0,0.26,9.25,1.89,0,0,2.06,0,0,0,3.34,0,3.86,20.39,0.732026,0.019608,0.084967,0.163399,1.25
2.735949,377.2,233.17,47.46,617.68,106.23,317.7,65.61,36.06,85.85,8.19,298.226415,2078.629083,300.144796,603.128889,322.04,6714.597322,14.348095,350.083419,371.183697,625.409091,3.260385,2.610227,1.132292,31655.289988,1032,9.3,1.74,31.88,84.3,8.72,0,0,18.51,8.62,0.87,9.5,2.03,2.62,3.88,2.33,3.68,8.24,1.84,4.75,2.62,0.48,0.97,2.13,0.29,0.87,0.39,8.43,0.68,2.62,3.39,0.19,3,0.58,3.29,0.97,2.03,0.29,9.5,2.23,5.62,0.39,0.19,0.68,2.71,5.81,16.86,1.36,2.23,0.19,0.48,5.14,6.2,1.65,0.97,0.19,0.19,0.78,0.58,0.19,0.19,0,0.19,0.29,0.19,0.19,0,0.87,0.1,0.58,0.19,0,0.1,0.68,0,0.29,9.01,2.03,0,0,1.74,0,0.1,0,3.97,0,0.39,17.25,0.729508,0.032787,0.090164,0.147541,4.375
4.558927,141.7,231.97,39.94,599.77,101.66,193.48,62.75,37.95,84.96,7.62,285.735294,1874.877876,316.262136,602.020873,338.768501,5325.022222,13.911111,317.699145,388.072978,644,3.398998,2.645403,1.183391,25246.688588,646,7.34,3.72,38.39,82.97,8.67,0,0,18.73,8.36,0.93,9.29,3.41,2.63,2.01,3.72,2.32,8.67,1.24,5.11,4.02,0.77,0.15,1.08,0.15,0.31,0,8.05,2.01,2.63,2.32,0,1.08,0.31,3.1,1.08,1.55,0.15,12.38,3.25,7.12,0.31,0,0.46,3.72,4.8,15.48,2.48,2.48,0.93,0.15,4.33,3.87,1.86,1.08,0.93,0.15,0,2.32,0.93,0.31,0.62,0.62,0,0.15,0.15,0,0.93,0,0.31,0.62,0.31,0,0.15,0,0.62,9.75,4.95,0,0,3.72,0.15,0.31,0,2.17,0,0,21.05,0.597826,0.054348,0.076087,0.271739,3.875
0.923474,1472.7,219.99,26.72,646.97,111.88,315.19,65.82,54.02,85.7,5.56,283.538462,1901.06722,307.456172,604.15859,329.30837,6369.993574,14.218474,334.629719,374.14011,632.954545,3.31533,2.570662,1.135993,30330.622609,1360,8.89,2.79,26.4,86.84,6.4,0,0,17.35,5.74,0.59,6.32,4.49,3.82,2.35,4.93,3.09,10.66,2.06,4.63,3.31,0.37,0.22,1.32,0.07,0.88,0,7.57,0.37,2.21,2.87,0.15,2.5,1.62,1.76,0.59,1.1,0,11.84,1.4,9.12,0,0.07,0.74,2.94,3.53,17.43,1.62,4.78,1.54,0.44,4.71,3.24,2.65,0.88,0.29,0.29,0.44,0.51,0.44,0,0,0.07,0.59,0.74,0.59,0.15,1.1,0.37,0.29,0.15,0.22,0.22,0.74,0.29,0.29,8.31,4.04,0,0,3.01,0.37,0.51,0,0.15,0,4.04,20.44,0.538462,0.021978,0.192308,0.247253,4.375
2.487644,364.2,197.21,49.45,597.69,100.96,416.69,66.29,35.04,86.29,7.57,280.297297,1895.499388,311.218707,603.428765,328.83175,6479.368106,14.197842,333.098321,370.760839,681.529412,3.344418,2.64191,1.137931,29837.803364,906,9.15,4.42,30.24,85.32,8.17,0,0,17,5.74,0.99,6.73,5.08,2.21,3.53,1.88,3.42,9.38,1.88,2.87,1.66,0.11,0.33,1.21,0.11,1.1,0,9.05,1.43,1.66,2.32,0.66,2.65,0.33,1.43,0.55,0.44,0.11,9.82,0.77,8.28,0,0.11,0.66,3.09,4.42,17.88,0.77,3.97,1.32,0.66,5.85,5.19,2.1,1.88,0.66,0.77,0.66,1.77,0.88,0.66,0.11,0.11,0.77,0.44,0.44,0,1.1,0.22,0.55,0.55,0,0,0.88,0.44,0.11,5.63,3.64,0,0,4.53,1.21,0,0,0,0,8.17,23.18,0.567797,0.059322,0.025424,0.347458,4.125
1.577438,104.6,214.56,65.83,596.03,103.88,250.94,61.1,53.11,81.21,4.19,269.75,2254.778571,318.772059,607.717391,338.768116,6131.161972,14.542254,354.570423,386.87218,651,3.238095,2.451128,1.105634,28672.822581,165,6.35,2.42,56.36,87.27,9.09,0,0,21.82,10.91,0.61,11.52,5.45,2.42,3.03,6.67,1.82,9.09,0,3.64,2.42,0.61,0,1.21,0,0,0,7.88,2.42,3.03,2.42,0,1.21,0.61,1.82,1.21,0.61,0,10.3,1.21,8.48,0,0.61,0,2.42,4.24,21.21,0,4.85,1.82,0,5.45,3.64,1.82,1.82,1.82,0,0,2.42,1.21,0.61,0,0.61,0,0,0,0,0.61,0,0.61,0,0,0,0,0,0.61,13.33,6.67,0,0,2.42,0,0,0,2.42,0,42.42,67.27,0.727273,0,0.121212,0.151515,2.375
2.137328,697.6,235.42,29.21,626.45,102.01,284.63,65.92,-46.52,87.24,8.51,293.278481,1845.084675,316.087912,603.212074,336.21921,5476.943345,13.954949,319.934471,380.737903,605.470588,3.322125,2.63411,1.156876,26650.48,1491,46.59,0.4,29.24,81.35,9.12,0.07,0,18.58,7.85,1.27,9.12,4.02,2.68,4.56,1.54,3.69,7.31,2.48,5.84,3.15,0.94,0.34,2.62,0,0.94,0.67,8.58,1.68,2.68,1.81,0.13,2.68,1.01,2.55,0.74,1.01,0.34,10.87,1.34,8.18,0.13,0.54,0.54,3.35,3.76,19.72,0.8,3.29,1.48,0.2,4.09,2.82,1.74,1.74,1.41,0,0.34,0.74,0.34,0,0.07,0.34,0.13,0.34,0.34,0,1.21,0.27,0.34,0.4,0.07,0.13,0.94,1.01,0.07,1.81,0.54,0.07,0,0.4,0.07,0.07,0,7.38,0,7.38,17.71,0.82243,0.046729,0.028037,0.102804,4.375
2.200513,506.7,235.79,44.92,631.75,90.16,235.22,63.05,10.62,85.55,7.82,289.016129,1905.036559,315.638756,601.842907,333.713951,6682.641158,13.792141,319.702172,372.619804,663.32,3.415911,2.788396,1.196222,30431.920872,1115,5,0.27,34.26,77.04,8.97,0,0,15.34,6.73,0.81,7.53,1.97,2.33,2.42,4.39,3.59,8.7,1.88,3.41,1.88,0.45,0.27,1.52,0.27,0.54,0.27,5.74,0.27,1.79,1.52,0.09,2.24,0.9,1.35,0.18,1.17,0,7.89,1.52,5.83,0,0.09,0.27,3.5,2.42,15.52,0.72,3.68,1.61,0.45,4.75,2.6,1.88,0.99,0.81,0.09,0.09,1.35,0.54,0,0.54,0.36,0.18,0.18,0.18,0,0.54,0.27,0.18,0,0.18,0.09,0.45,2.69,0.09,20.45,0.9,0,0,0.27,0,0,0,0.9,0,3.77,26.28,0.747899,0.046218,0.151261,0.054622,4
1.209711,1194.5,232.31,13.89,611.4,99.15,347.14,64.41,7.7,85.67,6.85,264.820896,1887.547583,319.377926,603.217749,342.283484,5737.363166,14.142751,325.946746,388.617872,619.852941,3.377826,2.638726,1.173653,27225.688127,1445,8.81,1.31,28.58,85.74,8.51,0.07,0,19.24,8.86,0.62,9.48,2.77,3.94,3.6,1.66,2.63,8.51,2.08,3.39,2.08,0.76,0,1.31,0.21,0.62,0.14,7.54,1.25,1.87,2.35,0.42,2.7,1.18,3.04,0.9,1.8,0.28,11.76,2.42,7.68,0.35,0.21,0.97,2.84,5.26,17.79,1.04,3.11,0.83,0.21,4.36,4.29,1.45,1.73,1.18,0.14,0.42,0.48,0.35,0.07,0,0.07,0.35,0.28,0.21,0.07,0.55,0.14,0.14,0.35,0,0.07,0.07,0.76,0.9,10.1,6.44,0,0,1.31,0.07,0,0,1.59,0,1.52,21.04,0.796703,0.038462,0.06044,0.104396,3.375
2.243743,335.6,183.2,41.26,599.9,108.73,215.23,63.64,54.85,85.31,5.19,387.282051,1882.195231,297.18258,599.309677,317.679032,7414.363112,14.168588,339.070605,361.246528,574.888889,3.659058,2.981938,1.25037,32568.619697,753,53.79,0.13,38.91,79.02,12.62,0,0,14.08,4.12,0.4,4.52,3.45,1.99,2.12,1.06,4.91,9.96,2.26,1.86,1.46,0.13,0.27,0.4,0,0,0,7.44,1.59,2.39,1.86,0.27,3.72,1.2,1.86,0.53,1.06,0.27,8.1,1.33,6.11,0,0,0.4,2.79,2.66,16.47,1.46,3.19,0.93,0.13,5.58,3.59,1.2,0.53,0,0.4,0.13,0.93,0.27,0,0.66,0.13,0.93,0,0,0,0.53,0.53,0,0,0,0,0,0.53,0.27,1.73,2.52,0,0,0.13,0,0,0,0,0,3.59,7.97,0.918919,0,0,0.081081,1.25
3.174561,375.8,193.34,52.5,599.62,99.96,243.97,64.02,37.77,85.36,8.08,315.140351,1939.111818,312.816901,602.481188,331.887017,6639.707556,14.090667,322.323556,374.389517,633.25,3.384345,2.7238,1.182315,31633.933668,1193,6.98,2.01,32.27,81.81,9.14,0,0,17.6,7.29,0.5,7.8,3.86,3.1,2.18,1.17,4.78,8.38,1.93,3.86,2.43,0.5,0.67,1.42,0.34,0.25,0.42,8.3,1.93,3.1,1.84,0.17,2.77,1.09,2.68,1.01,1.26,0.25,10.14,1.59,7.46,0.08,0.42,0.67,4.36,4.53,16.68,0.92,2.85,0.84,0.08,4.02,5.28,1.51,2.43,1.51,0.25,0.5,1.84,0.84,0,0.17,0.84,0,0.25,0.25,0,0.5,0.17,0.17,0.17,0,0,0.17,1.01,0.42,13.16,4.27,0,0,2.18,0,0.17,0,1.84,0,11.4,33.03,0.736264,0.043956,0.054945,0.164835,3.75
2.497854,116.5,192.31,56.29,589.83,113.77,290.23,64.06,54.04,83.83,5.3,375.789474,1902.627451,295.16055,604.875,313.254464,7519.026515,13.659091,320.140152,351.858537,653.6,3.787879,3.229075,1.356275,33489.233871,291,8.08,2.75,47.77,74.23,12.71,0,0,14.78,2.41,0,2.41,8.93,0.34,1.03,1.03,5.15,6.53,2.06,1.03,1.03,0,0.34,0,0,0,0,11,2.75,1.72,2.06,0,2.75,0.69,2.06,0.34,1.72,0,12.37,1.37,9.62,0,0,0.69,4.12,3.78,14.09,0.34,2.06,0.69,0,5.15,3.44,1.03,2.06,1.03,0.69,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0.34,15.12,4.47,0,0,2.75,0,0,0,1.37,0,34.36,58.08,0.792453,0.018868,0.018868,0.169811,3.625
1.356176,694.6,212.83,21.29,632.42,117.03,307.7,66.6,54.29,85.73,6.3,277.434783,1854.293765,316.435862,604.161905,337.632653,6390.231405,13.92562,317.384888,381.780112,593.052632,3.352468,2.761528,1.144928,30974.114094,942,17.77,2.97,37.9,83.76,9.34,0,0,15.82,6.58,0.85,7.43,3.72,2.44,3.08,2.55,4.35,8.7,1.7,6.05,2.55,0.74,0.11,3.4,0.11,2.34,0.11,8.07,0.85,2.02,2.44,0.85,1.91,0.96,3.08,0.74,1.38,0.42,10.51,1.8,7.32,0.32,0,0.96,4.46,3.61,16.99,1.06,2.23,1.38,0.11,3.5,3.82,1.7,1.17,0.42,0.21,0.53,1.17,0.11,0.32,0,0.74,0.11,0.53,0.32,0.21,2.76,0.85,1.17,0.42,0.53,0,2.23,1.06,1.06,2.65,8.07,0.11,0,3.18,0,0.11,0,3.5,0,10.51,28.13,0.6,0.021053,0.042105,0.336842,1.625
2.97514,249.4,247.29,69.3,597.98,105.44,267.32,66.62,54.73,86.42,6.58,240.590909,2054.233385,309.265734,606.578125,328.520833,6554.925484,14.09687,331.262295,376.915044,605.833333,3.222552,2.626466,1.137825,32503.010118,742,12.58,1.62,32.08,86.12,9.03,0,0,20.49,7.82,0.27,8.09,3.23,6.06,3.1,1.75,3.1,7.01,0.94,3.1,2.16,0.94,0.13,0.94,0.13,0.27,0,8.63,1.62,2.29,2.56,0.4,2.7,1.08,4.45,1.08,3.23,0.13,15.63,4.18,9.84,0.27,0.54,0.67,3.5,6.47,14.02,0.67,2.96,0.54,0.4,5.66,5.12,2.16,0.54,0,0.27,0.27,0.4,0.27,0.13,0,0,0.4,0,0,0,0.13,0,0.13,0,0,0,0,3.1,2.56,6.33,7.68,0,0,1.62,0,0.13,0,2.16,0,17.79,35.71,0.763889,0.041667,0.013889,0.180556,3.25
