Gender,Age,Country,English,Dialogue,Condition,Model,Personality,Introversion rating,Extraversion rating,Extraversion,Fluency rating,Personality overall
female,19.0,CA,high,1.0,d0_model2_ext,STRAP,Ext,1.8,3.8,4.0,3.3333333333333335,4.0
female,19.0,CA,high,2.0,d1_model0_int,Expert,Int,2.6,2.2,2.8,2.0,3.2
female,19.0,CA,high,3.0,d2_model0_ext,Expert,Ext,2.0,4.0,4.0,4.0,4.0
male,20.0,PL,med,1.0,d0_model0_ext,Expert,Ext,1.6,4.2,4.3,3.6666666666666665,4.3
male,20.0,PL,med,2.0,d1_model0_ext,Expert,Ext,1.6,5.0,4.7,3.6666666666666665,4.7
male,20.0,PL,med,3.0,d2_model0_int,Expert,Int,2.8,3.4,3.3000000000000003,3.3333333333333335,2.7
female,21.0,MX,med,1.0,d0_model0_int,Expert,Int,4.4,4.0,2.8,6.0,3.2
female,21.0,MX,med,2.0,d1_model2_ext,STRAP,Ext,2.8,4.6,3.9,4.666666666666667,3.9
female,21.0,MX,med,3.0,d2_model1_int,GPT-3,Int,2.2,4.4,4.1,3.3333333333333335,1.9
female,20.0,SI,med,1.0,d0_model2_int,STRAP,Int,1.4,3.6,4.1,0.6666666666666666,1.9
female,20.0,SI,med,2.0,d1_model1_ext,GPT-3,Ext,1.6,4.2,4.3,3.0,4.3
female,20.0,SI,med,3.0,d2_model2_int,STRAP,Int,1.8,4.4,4.3,5.666666666666667,1.6999999999999997
female,20.0,PL,med,1.0,d0_model1_ext,GPT-3,Ext,1.4,6.0,5.3,3.3333333333333335,5.3
female,20.0,PL,med,2.0,d1_model1_int,GPT-3,Int,1.8,4.6,4.3999999999999995,4.0,1.6
female,20.0,PL,med,3.0,d2_model1_ext,GPT-3,Ext,2.6,3.2,3.3,6.0,3.3
male,26.0,EE,med,1.0,d0_model0_ext,Expert,Ext,1.6,4.2,4.3,4.0,4.3
male,26.0,EE,med,2.0,d1_model0_ext,Expert,Ext,1.2,5.0,4.9,4.0,4.9
male,26.0,EE,med,3.0,d2_model0_int,Expert,Int,3.4,2.0,2.3,4.333333333333333,3.7
male,25.0,MX,med,1.0,d0_model2_int,STRAP,Int,3.4,2.8,2.7,2.3333333333333335,3.3
male,25.0,MX,med,2.0,d1_model1_ext,GPT-3,Ext,0.6,6.0,5.7,4.333333333333333,5.7
male,25.0,MX,med,3.0,d2_model2_int,STRAP,Int,4.8,2.4,1.8000000000000003,4.333333333333333,4.2
male,26.0,HU,med,1.0,d0_model1_ext,GPT-3,Ext,0.8,5.8,5.5,5.333333333333333,5.5
male,26.0,HU,med,2.0,d1_model1_int,GPT-3,Int,1.2,5.2,5.0,4.666666666666667,1.0
male,26.0,HU,med,3.0,d2_model1_ext,GPT-3,Ext,2.6,4.2,3.8,3.6666666666666665,3.8
male,25.0,PL,med,1.0,d0_model2_ext,STRAP,Ext,1.0,4.6,4.8,5.0,4.8
male,25.0,PL,med,2.0,d1_model0_int,Expert,Int,1.4,4.0,4.3,4.666666666666667,1.7
male,25.0,PL,med,3.0,d2_model0_ext,Expert,Ext,1.0,4.8,4.9,4.666666666666667,4.9
male,29.0,GR,high,1.0,d0_model1_int,GPT-3,Int,1.8,4.6,4.3999999999999995,5.333333333333333,1.6
male,29.0,GR,high,2.0,d1_model2_int,STRAP,Int,1.4,4.4,4.5,1.0,1.4999999999999998
male,29.0,GR,high,3.0,d2_model2_ext,STRAP,Ext,2.8,3.0,3.1,1.0,3.1
female,21.0,MX,med,1.0,d0_model0_ext,Expert,Ext,1.8,6.0,5.1,5.666666666666667,5.1
female,21.0,MX,med,2.0,d1_model0_ext,Expert,Ext,1.6,6.0,5.2,5.666666666666667,5.2
female,21.0,MX,med,3.0,d2_model0_int,Expert,Int,2.4,4.4,4.0,4.666666666666667,1.9999999999999998
male,27.0,MX,med,1.0,d0_model2_int,STRAP,Int,1.2,5.0,4.9,2.0,1.1
male,27.0,MX,med,2.0,d1_model1_ext,GPT-3,Ext,0.0,5.6,5.8,5.0,5.8
male,27.0,MX,med,3.0,d2_model2_int,STRAP,Int,1.6,3.8,4.1000000000000005,2.0,1.9000000000000001
male,22.0,PL,med,1.0,d0_model1_ext,GPT-3,Ext,2.0,4.2,4.1,4.666666666666667,4.1
male,22.0,PL,med,2.0,d1_model1_int,GPT-3,Int,1.6,4.4,4.4,5.0,1.5999999999999999
male,22.0,PL,med,3.0,d2_model1_ext,GPT-3,Ext,2.6,3.6,3.5,3.3333333333333335,3.5
female,30.0,PT,high,1.0,d0_model2_ext,STRAP,Ext,1.4,3.8,4.2,3.3333333333333335,4.2
female,30.0,PT,high,2.0,d1_model0_int,Expert,Int,3.4,1.8,2.2,3.6666666666666665,3.8
female,30.0,PT,high,3.0,d2_model0_ext,Expert,Ext,1.6,4.0,4.2,5.666666666666667,4.2
female,22.0,ES,med,1.0,d0_model1_int,GPT-3,Int,2.2,4.6,4.199999999999999,6.0,1.8000000000000003
female,22.0,ES,med,2.0,d1_model2_int,STRAP,Int,2.0,4.2,4.1,3.3333333333333335,1.9
female,22.0,ES,med,3.0,d2_model2_ext,STRAP,Ext,4.0,1.6,1.7999999999999998,2.3333333333333335,1.8
